      0.181058739007; 0;2;3;4;9
      0.181002598783; 2;5;7;8;9
      0.180854841927; 2;3;10
      0.180801215254; 2;3;4;8;9
      0.180757637785; 1;3;8
      0.180730894902; 0;1;3;8;9
      0.180440906670; 0;1;3;6;8
      0.180405304551; 3;6;7;8
      0.180393775248; 0;1;3;5;6
      0.180376146932; 2;3;7;8;9
      0.180331477592; 2;3;6;7;9;10
      0.180296748091; 0;3;5;7;8;9
      0.180189943525; 2;3;5;6;7
      0.179571788859; 0;2;6;7
      0.179570440149; 2;3;4;5;7
      0.179547340008; 0;3;4;7
      0.179539432704; 1;5;7;9
      0.179471014419; 2;4;5;9
      0.179469621694; 0;3;6;7;8
      0.179400211545; 2;4;10
      0.179383800093; 2;5;7;9
      0.179329724951; 0;2;8;9
      0.179312468852; 2;3;5;9
      0.179158508944; 1;3;6;7;9
      0.179082006761; 0;3;5;6;7;9
      0.178969759123; 0;3;4;9
      0.178966661772; 0;1;2;3;5
      0.178913255092; 0;2;3;7;9
      0.178875111912; 2;6;7;8
      0.178788468835; 5;6;7;9
      0.178731145468; 0;2;3;8
      0.178620468133; 0;3;5;8
      0.178562596700; 0;3;6;9;10
      0.178485434095; 3;5;7;9;10
      0.178325684789; 3;5;6;7
      0.178273420337; 5;7;8;9
      0.178191906915; 0;1;3;5;7;8
      0.178166508894; 2;6;8;9
      0.178166272534; 0;1;9;10
      0.178107866331; 1;3;7;10
      0.178035562851; 0;2;5
      0.177919518420; 0;1;2;7
      0.177897652263; 0;1;8;9
      0.177770070173; 2;3;6;8
      0.177759215170; 0;2;6
      0.177629398419; 2;4;6;8;9
      0.177449179100; 3;5;8
      0.177383024003; 0;2;9
      0.177373302223; 2;3;4;6;7;8
      0.177365267902; 1;3;4;9
      0.177275961597; 2;4;5;6
      0.177152808362; 0;1;2;6
      0.177003735679; 0;1;3;5;7
      0.176841423514; 0;5;7;8
      0.176695592608; 0;3;7;8;9;10
      0.176673852682; 2;3;5;6;7;9
      0.176673464375; 0;3;4;7;9
      0.176614073736; 2;3;4;7;8
      0.176492642731; 1;3
      0.176443223811; 0;9;10
      0.176330436585; 0;1;2;3;6
      0.176321166815; 0;1;2;3;6;9
      0.176300317524; 0;3;6;7;8;9
      0.176250705128; 3;5;6;7;8
      0.176194543503; 5;7
      0.176059606000; 2;3;5;6;9
      0.176058684752; 0;1;2;3;7
      0.176055780557; 0;1;2;5;9
      0.175996950211; 1;3;7;8;9
      0.175804472942; 0;2;3;8;9
      0.175780698139; 1;2;3;6
      0.175701720500; 3;6;10
      0.175598608452; 4;6;7;9
      0.175553814127; 0;2;3;6;9
      0.175490910640; 0;1;3;5;9
      0.175483973248; 0;2;3;5;7
      0.175380610365; 0;4;7;8;9
      0.175349845784; 3;4;6;7;9
      0.175347134511; 3;4;6;8;9
      0.175275101379; 0;6;7;9
      0.175257744686; 0;6;7;8
      0.175249234121; 0;1;7;8;9
      0.175234773269; 0;3;4;8
      0.175227925722; 2;4;6;9
      0.175207516399; 0;2;4;9
      0.175130389566; 1;3;7;8
